Business Unit,Level,FLSA,Tenure,Cared_About,Excited,Helpful_Info,Trust_Leadership,Morale,Attention check 1,Attention check 2,Comments
Sales,Mid,Exempt,< 1 yr,5.0,1.0,5.0,2.0,3.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
IT,Senior,Non-Exempt,< 1 yr,5.0,3.0,4.0,2.0,4.0,4,2,
Commercial Department,Senior,Exempt,10+ yrs,4.0,3.0,3.0,5.0,4.0,4,2,
Operations,Mid,Non-Exempt,1-3 yrs,4.0,3.0,4.0,1.0,3.0,4,2,I know what's happening. I don't trust that it will work out.
Commercial Department,Mid,Exempt,3-5 yrs,4.0,2.0,4.0,1.0,4.0,4,2,I know what's happening. I don't trust that it will work out.
IT,Mid,Non-Exempt,3-5 yrs,3.0,2.0,4.0,2.0,3.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
Product,Senior,Non-Exempt,1-3 yrs,,4.0,4.0,4.0,5.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
IT,Mid,Non-Exempt,3-5 yrs,4.0,2.0,5.0,1.0,3.0,4,2,I know what's happening. I don't trust that it will work out.
Sales,Senior,Exempt,5-10 yrs,4.0,2.0,5.0,2.0,3.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
Operations,Mid,Non-Exempt,10+ yrs,4.0,5.0,2.0,5.0,4.0,4,2,
Commercial Department,Senior,Non-Exempt,10+ yrs,5.0,4.0,3.0,4.0,4.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Sales,Mid,Non-Exempt,3-5 yrs,1.0,2.0,3.0,1.0,2.0,4,2,I don't feel valued. My manager is overloaded and I rarely get feedback.
IT,Senior,Exempt,< 1 yr,5.0,1.0,5.0,3.0,3.0,4,2,"I get the information I need, but I don't agree with the direction. The strategy has been communicated; I'm not convinced it's the right one."
Commercial Department,Mid,Non-Exempt,3-5 yrs,5.0,1.0,5.0,1.0,4.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
Sales,Entry,Non-Exempt,< 1 yr,4.0,2.0,4.0,2.0,3.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
Commercial Department,Mid,Non-Exempt,5-10 yrs,4.0,3.0,4.0,1.0,3.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
Commercial Department,Senior,Exempt,3-5 yrs,5.0,3.0,4.0,3.0,5.0,4,2,
Operations,Entry,Non-Exempt,< 1 yr,3.0,3.0,1.0,2.0,2.0,4,2,I don't feel valued. My manager is overloaded and I rarely get feedback.
Operations,Entry,Non-Exempt,< 1 yr,1.0,1.0,2.0,1.0,3.0,4,2,I've been looking at other opportunities. There's no clear path here.
Commercial Department,Mid,Exempt,1-3 yrs,3.0,1.0,2.0,2.0,3.0,4,2,Pay has not kept up. I feel replaceable.
Sales,Entry,Non-Exempt,< 1 yr,1.0,1.0,5.0,1.0,1.0,4,2,
IT,Senior,Non-Exempt,5-10 yrs,3.0,5.0,2.0,4.0,5.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Commercial Department,Senior,Exempt,1-3 yrs,4.0,3.0,3.0,2.0,3.0,4,2,
Operations,Entry,Non-Exempt,1-3 yrs,3.0,2.0,4.0,3.0,3.0,4,2,
Sales,Mid,Exempt,3-5 yrs,4.0,2.0,5.0,2.0,4.0,4,2,"I get the information I need, but I don't agree with the direction. The strategy has been communicated; I'm not convinced it's the right one."
IT,Senior,Non-Exempt,< 1 yr,3.0,2.0,2.0,2.0,2.0,4,2,I don't feel valued. My manager is overloaded and I rarely get feedback.
Commercial Department,Senior,Exempt,1-3 yrs,3.0,5.0,3.0,5.0,4.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
IT,Entry,Non-Exempt,3-5 yrs,1.0,5.0,1.0,5.0,1.0,4,2,
Commercial Department,Mid,Exempt,5-10 yrs,3.0,2.0,4.0,3.0,4.0,4,2,
Sales,Entry,Non-Exempt,1-3 yrs,1.0,2.0,4.0,1.0,2.0,3,2,I've been looking at other opportunities. There's no clear path here.
Sales,Senior,Exempt,1-3 yrs,5.0,5.0,2.0,4.0,5.0,4,2,I appreciate the monthly town halls. My manager keeps me in the loop on things that affect our team.
Product,Senior,Exempt,3-5 yrs,4.0,3.0,5.0,4.0,4.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Commercial Department,Mid,Exempt,1-3 yrs,3.0,2.0,5.0,1.0,4.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
Operations,Mid,Non-Exempt,< 1 yr,5.0,2.0,4.0,1.0,4.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
Operations,Mid,Non-Exempt,< 1 yr,1.0,3.0,4.0,2.0,2.0,4,2,I don't know what the company's plan is. I'm not sure anyone does.
Product,Senior,Non-Exempt,5-10 yrs,3.0,3.0,4.0,4.0,4.0,4,2,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
Commercial Department,Senior,Exempt,5-10 yrs,4.0,2.0,4.0,2.0,2.0,4,2,Leadership talks a lot about transparency. That's not the same as actually listening.
Product,Senior,Exempt,3-5 yrs,5.0,5.0,2.0,4.0,4.0,4,2,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
IT,Mid,Exempt,< 1 yr,4.0,2.0,5.0,2.0,3.0,4,2,"I get the information I need, but I don't agree with the direction. The strategy has been communicated; I'm not convinced it's the right one."
Operations,Mid,Exempt,10+ yrs,4.0,1.0,5.0,1.0,3.0,4,2,The weekly digest is well-written. I read it. I'm still looking.
IT,Senior,Non-Exempt,3-5 yrs,3.0,2.0,4.0,2.0,5.0,4,2,I'm well-informed and unexcited. Those are not the same problem and they shouldn't be treated as one.
Commercial Department,Senior,Exempt,5-10 yrs,3.0,5.0,5.0,4.0,4.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Product,Mid,Non-Exempt,3-5 yrs,2.0,1.0,3.0,1.0,3.0,4,2,Leadership says one thing and does another. Communication is poor.
Product,Senior,Non-Exempt,1-3 yrs,3.0,4.0,4.0,4.0,3.0,4,2,The growth opportunities here are real. I transferred to a new role last year and it was well supported.
Commercial Department,Entry,Non-Exempt,1-3 yrs,1.0,2.0,3.0,1.0,3.0,4,2,I've been looking at other opportunities. There's no clear path here.
Product,Mid,Non-Exempt,10+ yrs,4.0,3.0,5.0,3.0,4.0,4,2,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
Commercial Department,Mid,Exempt,3-5 yrs,5.0,1.0,5.0,1.0,4.0,4,2,I know what's happening. I don't trust that it will work out.
Product,Senior,Non-Exempt,10+ yrs,5.0,5.0,4.0,4.0,4.0,4,2,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
IT,Senior,Exempt,5-10 yrs,4.0,5.0,4.0,3.0,3.0,4,2,Leadership has been clear about the restructuring and why it matters. I feel proud to work here.
IT,Senior,Exempt,5-10 yrs,2.0,4.0,3.0,3.0,5.0,4,2,"I trust the exec team. They communicate setbacks, not just wins."
Operations,Mid,Non-Exempt,3-5 yrs,3.0,2.0,4.0,1.0,4.0,4,2,"Plenty of communication, less confidence. My team is drained."
